year, CNRM-ESM2-1, MIROC-ES2L, MPI-ESM1-2-LR, CESM2-WACCM, ACCESS-ESM1-5, UKESM1-0-LL, CMCC-ESM2, IPSL-CM6A-LR
1.946000000000000000e+03, 3.787539973479217277e-11, 8.337930800914411377e-10, 4.445884345770556972e-10, 1.705524465811693420e-10, 6.705094111331536631e-11, 3.331131229914932620e-11, 3.300583700826483823e-11, 6.537180747259981791e-10
1.947000000000000000e+03, 4.271410644087454107e-11, 8.441041451636299414e-10, 4.513800738545172578e-10, 1.817875227860193855e-10, 6.797008768639915498e-11, 3.405004247735442178e-11, 3.409615074218928880e-11, 6.923201234985761801e-10
1.948000000000000000e+03, 4.860664293819972881e-11, 8.562398266853164727e-10, 4.642499106079454248e-10, 1.847454413704567214e-10, 6.994146082748365382e-11, 3.538868367008212401e-11, 3.501122492222193890e-11, 6.897481632428628408e-10
1.949000000000000000e+03, 5.529485626185974159e-11, 8.705732001762434544e-10, 4.831706566752769204e-10, 1.869264119254198879e-10, 7.044656202748686826e-11, 3.587488666256030110e-11, 3.577983555381318165e-11, 7.113406744880504271e-10
1.950000000000000000e+03, 6.228847264165975211e-11, 9.125225871560318999e-10, 4.958157441056553391e-10, 1.951048923107232984e-10, 7.239888481778557802e-11, 3.663321813493571488e-11, 3.608157553268588161e-11, 6.982872954511896159e-10
1.951000000000000000e+03, 6.973380142288349119e-11, 9.338216168921498485e-10, 5.061080874673761343e-10, 1.975572039110875215e-10, 7.039756104700577075e-11, 3.796366493056778404e-11, 3.599487910361743418e-11, 7.644002081756382406e-10
1.952000000000000000e+03, 7.649758401977064613e-11, 9.406367238900352468e-10, 5.096763527467259295e-10, 1.995254611371755664e-10, 6.855919356927484797e-11, 3.980740337336677765e-11, 3.593991500219077184e-11, 7.728610515297695034e-10
1.953000000000000000e+03, 8.334170248696133661e-11, 9.600795530378037585e-10, 5.086514641880431378e-10, 2.149286014794757734e-10, 6.879915217121912238e-11, 4.176612910519473924e-11, 3.595133952308102448e-11, 7.953490953504337737e-10
1.954000000000000000e+03, 8.974543406007787051e-11, 9.696079552716872801e-10, 5.144858140657697242e-10, 2.149953283421923136e-10, 6.877340537699186145e-11, 4.387146103728925306e-11, 3.603325699059956103e-11, 7.864409301741436793e-10
1.955000000000000000e+03, 9.561660119845346085e-11, 9.781566660850684302e-10, 5.261287829187899910e-10, 2.219078627261567401e-10, 6.920621582239826004e-11, 4.782122947326433828e-11, 3.616282453969655892e-11, 8.103862232543761102e-10
1.956000000000000000e+03, 1.011929206870619882e-10, 9.873278692765500747e-10, 5.408472949021847498e-10, 2.231459141378180932e-10, 7.041940500571112624e-11, 5.171105707935016093e-11, 3.631597535882779616e-11, 8.423976200632004791e-10
1.957000000000000000e+03, 1.056741638473153788e-10, 9.934537391893717163e-10, 5.642178859618739778e-10, 2.282663149834828085e-10, 7.018237038626954681e-11, 5.559698228759134748e-11, 3.647142323084410328e-11, 8.255809667450247845e-10
1.958000000000000000e+03, 1.097975740615881656e-10, 1.001739016067442824e-09, 5.783433470702571957e-10, 2.302911633048143170e-10, 7.161758017326570312e-11, 5.877521490516124829e-11, 3.667481505926486896e-11, 8.476131984968645742e-10
1.959000000000000000e+03, 1.138345800729453394e-10, 1.008262598559739993e-09, 5.897232505212121996e-10, 2.502814076992170435e-10, 7.247256505721222857e-11, 6.475124709099513931e-11, 3.691344188392184301e-11, 8.303165617622796150e-10
1.960000000000000000e+03, 1.171329314156843455e-10, 8.560634974168756454e-10, 5.818755103321183062e-10, 2.504194557080041022e-10, 7.374600380719337341e-11, 4.974527392947782671e-11, 3.544341494520713252e-11, 8.540340304320422854e-10
1.961000000000000000e+03, 1.210191862553218794e-10, 8.221235037013181157e-10, 5.656635150515127062e-10, 2.250781692475910380e-10, 5.476553464048082596e-11, 2.877336671190566823e-11, 3.274743222697673226e-11, 7.790874199099803427e-10
1.962000000000000000e+03, 1.121716273091947373e-10, 8.078082646933538591e-10, 5.566011705488150650e-10, 2.360646149174399741e-10, 4.658257247647636402e-11, 2.058272841429262093e-11, 3.073172140353180781e-11, 7.603718968074794865e-10
