year, EC-Earth3-Veg, CMCC-ESM2, CNRM-ESM2-1, TaiESM1, NorESM2-LM, CESM2-WACCM, NorESM2-MM, UKESM1-0-LL, IPSL-CM6A-LR, MPI-ESM1-2-LR
1.928000000000000000e+03, 3.310644836671153494e-10, 1.861482969494411868e-10, 2.541483452263621270e-10, 1.683903990315287683e-10, 2.454580549990713539e-10, 1.645542440230624519e-10, 2.857178366670218906e-10, 1.136033295594847228e-11, 5.951638368827463223e-11, 1.235361734506191256e-10
1.929000000000000000e+03, 3.331451900801978068e-10, 1.798169570895751562e-10, 2.633557619222989235e-10, 1.678697825994881900e-10, 2.559728334108604774e-10, 1.647811531530812352e-10, 2.641328555886623044e-10, 1.378586782869985939e-11, 5.955285309120237803e-11, 1.223648033087025557e-10
1.930000000000000000e+03, 3.333780074253661365e-10, 1.746470185426822937e-10, 2.704486034394476445e-10, 1.668549491835737682e-10, 2.650756269234840547e-10, 1.656512995497805517e-10, 2.547434272014909978e-10, 1.129871565407596888e-11, 5.982323913898951254e-11, 9.860173428678391261e-11
1.931000000000000000e+03, 3.390922024445152614e-10, 1.757839937664047423e-10, 2.535542352478513983e-10, 1.682792962688351404e-10, 3.014849012001684356e-10, 1.813007843126227508e-10, 2.755037776763125699e-10, 6.525393435627468567e-12, 6.456197695527895052e-11, 8.398794828366872156e-11
1.932000000000000000e+03, 3.407698808428847770e-10, 1.792350870553909676e-10, 2.574415692673367730e-10, 1.681734764400314602e-10, 2.912490090262168617e-10, 1.821976804210528002e-10, 2.880679703856530287e-10, 4.705795119106764666e-12, 6.470080149547036622e-11, 8.126305825386423106e-11
1.933000000000000000e+03, 3.416261786711333950e-10, 1.788271614237629223e-10, 2.640139139432157301e-10, 1.657568162404130417e-10, 2.862230187602718779e-10, 1.825802262591229791e-10, 2.924246368462767208e-10, 4.022893304503604155e-12, 6.456772680442844968e-11, 7.915837187913943066e-11
1.934000000000000000e+03, 3.335855480530844423e-10, 1.756018869212339785e-10, 2.638825711640729695e-10, 1.649476094293303053e-10, 2.885118055732634055e-10, 1.824649574241924558e-10, 2.967779021391383179e-10, 3.726463118132248190e-12, 6.443720445716300229e-11, 7.731969557238836511e-11
1.935000000000000000e+03, 3.346315942389684866e-10, 1.733863738673365625e-10, 2.673304529535426601e-10, 1.642497561764989810e-10, 3.095793444757565108e-10, 1.822670079863200734e-10, 3.003826845031817465e-10, 3.753872561935439440e-12, 6.445428062170399489e-11, 7.602639063913352571e-11
1.936000000000000000e+03, 3.349004361487015038e-10, 1.727323582823299377e-10, 2.676025024583317773e-10, 1.616312518343945000e-10, 3.040265248806293200e-10, 1.817053143577875983e-10, 2.740500198789871324e-10, 4.426391412933244824e-12, 6.430707915974466359e-11, 7.456654649278427165e-11
1.937000000000000000e+03, 3.310615945726569000e-10, 1.730207104494575525e-10, 2.711095733237099341e-10, 1.604608957703579450e-10, 3.167273085088642695e-10, 1.807165119989597946e-10, 2.733126444165899334e-10, 4.831515728419584394e-12, 6.442984276013093213e-11, 7.427256923655126545e-11
