year, IPSL-CM6A-LR, EC-Earth3-Veg, UKESM1-0-LL, MPI-ESM1-2-LR, CNRM-ESM2-1, ACCESS-ESM1-5, CMCC-CM2-SR5, MIROC-ES2L, CESM2-WACCM
2.091000000000000000e+03, 1.764285140531458018e-01, 1.210256697258026322e-03, 5.014206462737914916e-06, 1.028322162686369223e+00, 4.626471325313960721e-04, 3.579216764621543923e-01, 5.697106322910865384e-01, 3.411014256584537496e-01, 7.584938078669675177e-01
2.092000000000000000e+03, 1.749035431741541302e-01, 1.189965658537487639e-03, 4.799163026062878710e-06, 1.024681922908632137e+00, 4.040105981325386184e-04, 3.561125736850950241e-01, 5.653804908362860537e-01, 3.374935699494977515e-01, 7.535619896186139810e-01
2.093000000000000000e+03, 1.734290824408411258e-01, 1.170133800821914708e-03, 4.629523933442524521e-06, 1.020974400908083446e+00, 3.542330782341099674e-04, 3.545231802704364443e-01, 5.610793698433639287e-01, 3.342113841384333206e-01, 7.485471435494704950e-01
2.094000000000000000e+03, 1.711555437984679240e-01, 1.150533535736260283e-03, 4.476511907854061134e-06, 1.017181011620088338e+00, 3.133043271699416181e-04, 3.524274588289644794e-01, 5.568774211122791140e-01, 3.308083520781186504e-01, 7.436272750813557320e-01
2.095000000000000000e+03, 1.690831651290955751e-01, 1.131241367798634491e-03, 4.288572383256567327e-06, 1.012801773832729735e+00, 2.875479198261274598e-04, 3.505442946812650229e-01, 5.526438611921097310e-01, 3.273222290227579268e-01, 7.384755851098355750e-01
2.096000000000000000e+03, 1.674385969748903580e-01, 1.111501663595316483e-03, 3.991661694399896537e-06, 1.007669865289052558e+00, 2.629637984708124276e-04, 3.482971249625322341e-01, 5.483952261047493337e-01, 3.235352101038249106e-01, 7.329371048439042857e-01
2.097000000000000000e+03, 1.659270382740577754e-01, 1.091710172790824260e-03, 3.740166760509247549e-06, 1.002948525033400928e+00, 2.415247717671943823e-04, 3.461876422501620754e-01, 5.443982355191170353e-01, 3.202150751589029065e-01, 7.271359602753868501e-01
2.098000000000000000e+03, 1.638329951275008523e-01, 1.072361315625051026e-03, 3.537321055027309436e-06, 9.977617813554652271e-01, 2.229482395687200260e-04, 3.440647638057482971e-01, 5.399079378236795179e-01, 3.170417033282755259e-01, 7.218881263161862627e-01
2.099000000000000000e+03, 1.630269007828625272e-01, 1.053451624023052586e-03, 3.348292791851260052e-06, 9.937635720633338776e-01, 2.072478001318786166e-04, 3.419837215377627970e-01, 5.355004344279152839e-01, 3.151888841590873569e-01, 7.166520002132822365e-01
2.100000000000000000e+03, 1.609607227493143888e-01, 1.035114759762911611e-03, 3.122179784748889232e-06, 9.900560299669769471e-01, 1.974547793897066467e-04, 3.399414503246663277e-01, 5.178098722528807762e-01, 3.133420013624516609e-01, 7.137635268287599866e-01
