year, CESM2-WACCM, IPSL-CM6A-LR, CNRM-ESM2-1, UKESM1-0-LL
1.979000000000000000e+03, 2.895675535990668349e-10, -1.108401858442195187e-09, 3.582132571203351427e-10, 7.544653554231371795e-10
1.980000000000000000e+03, 2.925743036340712790e-10, -1.103742187940262570e-09, 3.521790716141226738e-10, 8.201340154632867361e-10
1.981000000000000000e+03, 2.752516593251217507e-10, -1.112726921231534696e-09, 3.463432109823043725e-10, 7.945197217573083565e-10
1.982000000000000000e+03, 2.740689920157269812e-10, -1.146368135835764584e-09, 3.541497722716775046e-10, 7.976283483576914751e-10
1.983000000000000000e+03, 2.754058583423469030e-10, -1.071228093491577551e-09, 3.594675944341271791e-10, 8.263395887200852359e-10
1.984000000000000000e+03, 2.757698937110927195e-10, -1.100234282426675231e-09, 3.608852965263422156e-10, 8.437780983451051092e-10
1.985000000000000000e+03, 2.765342177664457793e-10, -1.118526962944378720e-09, 3.642813900373523703e-10, 8.403277037276860426e-10
1.986000000000000000e+03, 2.781271963862221668e-10, -1.112111400117054360e-09, 3.745923704910485397e-10, 8.145180956025301335e-10
1.987000000000000000e+03, 2.810046640066424831e-10, -1.216338899845151811e-09, 3.779948394888268937e-10, 8.497255573047400165e-10
1.988000000000000000e+03, 2.841704691621530866e-10, -1.215967523227974946e-09, 3.604735027046250830e-10, 7.858787019982592679e-10
1.989000000000000000e+03, 2.840593443233692858e-10, -1.226741510531472798e-09, 3.621946509507872464e-10, 7.967856081576623762e-10
1.990000000000000000e+03, 2.847721249275210338e-10, -1.220041029188261293e-09, 3.681805193974740986e-10, 8.441507670875745526e-10
1.991000000000000000e+03, 2.534169991465218318e-10, -1.150610472027822358e-09, 3.266524065281791814e-10, 8.220271666581455656e-10
1.992000000000000000e+03, 2.538340821281310604e-10, -1.180704930746909462e-09, 3.310568604208011646e-10, 8.427448107929194640e-10
1.993000000000000000e+03, 2.526394248879487090e-10, -1.222907516457845097e-09, 3.255026231034448640e-10, 8.785343241544413970e-10
1.994000000000000000e+03, 2.516915276860542893e-10, -1.199466610542400308e-09, 3.286050211968052458e-10, 8.540313344149556754e-10
1.995000000000000000e+03, 2.525096908260949422e-10, -1.249267068956491955e-09, 3.266555460406321331e-10, 8.809995397463953948e-10
1.996000000000000000e+03, 2.534703265513610619e-10, -1.251408350461340563e-09, 3.275696838027547355e-10, 9.237728838185942158e-10
1.997000000000000000e+03, 2.531861782325289334e-10, -1.282474028310947213e-09, 3.270138377722756224e-10, 9.175370578979945298e-10
1.998000000000000000e+03, 2.543397597146651216e-10, -1.253025226747436303e-09, 3.237153530436808689e-10, 8.980933946796229960e-10
1.999000000000000000e+03, 2.561867002791910385e-10, -1.254830395338017948e-09, 3.293099345917287165e-10, 9.453474952529867337e-10
2.000000000000000000e+03, 2.594586969880357297e-10, -1.324921736548859700e-09, 3.564725226994649145e-10, 9.510386744713884173e-10
2.001000000000000000e+03, 2.968630735665407123e-10, -1.288062018867876462e-09, 3.555444729939392845e-10, 9.388381916736050015e-10
2.002000000000000000e+03, 2.179435548205230968e-10, -1.326285827344477276e-09, 2.288454007247965106e-10, 9.862364007448035444e-10
2.003000000000000000e+03, 2.975780508924154557e-10, -1.356746800059812093e-09, 3.126064946392974697e-10, 1.003109045636504364e-09
2.004000000000000000e+03, 3.354997380588402218e-10, -1.336720582024839716e-09, 3.424892013708083397e-10, 9.429767107194674387e-10
2.005000000000000000e+03, 2.477379850650470881e-10, -1.371913342045778398e-09, 2.180836385359313831e-10, 9.401593351313726419e-10
2.006000000000000000e+03, 2.437324822463524481e-10, -1.357470115206680654e-09, 2.764160654751049467e-10, 9.996848466640714766e-10
2.007000000000000000e+03, 2.768278631668349135e-10, -1.323909336907284174e-09, 2.938660235143169430e-10, 9.796983880635938658e-10
2.008000000000000000e+03, 2.442255634902936244e-10, -1.280337396332676499e-09, 2.191366115259434254e-10, 1.033975135319550542e-09
2.009000000000000000e+03, 2.155295920340331328e-10, -1.344513547765705795e-09, 1.534125363889634142e-10, 1.006502045318241713e-09
2.010000000000000000e+03, 6.531263192434480419e-10, -2.041300892290695147e-09, 1.211628455339906015e-09, 1.072036378552534178e-09
2.011000000000000000e+03, 3.111260397301968753e-10, -1.487099639123219583e-09, 3.674564851179611739e-10, 1.094661305165788858e-09
2.012000000000000000e+03, 4.021368369903570612e-10, -1.551457253717012068e-09, 3.783306719350374230e-10, 1.101883890032915671e-09
2.013000000000000000e+03, 4.682277372161881773e-10, -1.883892612827147451e-09, 7.056247737663852910e-10, 1.279871404442807003e-09
2.014000000000000000e+03, 4.330708006133758082e-10, -1.801809085460919889e-09, 6.550775148428942791e-10, 1.243389861865282749e-09
