year, CMCC-ESM2, TaiESM1, CESM2-WACCM, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, EC-Earth3-Veg, NorESM2-LM, MPI-ESM1-2-LR, NorESM2-MM
2.078000000000000000e+03, 4.538122953427909301e-11, 4.512419567777816469e-11, 9.123771114547929483e-11, 4.408636524367222682e-12, 4.865009448124916062e-11, 1.452124842875635282e-11, 2.241524616365862199e-11, 3.119263005127774679e-10, 1.852935735022769621e-11, 4.327559713178765082e-10
2.079000000000000000e+03, 4.460423955730365536e-11, 4.463939147327018978e-11, 9.562330804353132168e-11, 4.175744143362466999e-12, 4.829738635264683818e-11, 1.436296362607047520e-11, 2.199619770427019451e-11, 2.572225867445602601e-10, 1.810131465513869032e-11, 4.770572377696268134e-10
2.080000000000000000e+03, 4.513611075558788054e-11, 4.270943205926950274e-11, 1.000463564681689719e-10, 4.353971497351412040e-12, 4.864054054136052802e-11, 1.429875324088505216e-11, 2.130940306046649542e-11, 2.822493210640325134e-10, 1.678914713085870274e-11, 3.760473204641132706e-10
2.081000000000000000e+03, 4.673072845502873008e-11, 4.236690441401215651e-11, 9.756610005421701329e-11, 5.608672829541104621e-12, 3.721594511374488256e-11, 1.311417394617658330e-11, 1.953252869855549247e-11, 2.623131075900592737e-10, 1.579681541859043827e-11, 3.453332369955964643e-10
2.082000000000000000e+03, 4.508717354555380208e-11, 4.232644169919810828e-11, 9.999286795808065455e-11, 6.308485057199210438e-12, 3.798173156301876347e-11, 1.293086044046558663e-11, 2.007913879049736580e-11, 2.720552799141890114e-10, 1.531016276342003794e-11, 3.737951983546671016e-10
2.083000000000000000e+03, 4.347713660559048353e-11, 4.229255141390181342e-11, 1.010674169455996089e-10, 6.589000488097937052e-12, 3.768038674766645048e-11, 1.263557917954029027e-11, 2.061375525855794124e-11, 2.720710518619411618e-10, 1.502317882962106301e-11, 3.204156977429561078e-10
2.084000000000000000e+03, 4.289299516668025086e-11, 4.272236254442069018e-11, 9.939822924948737199e-11, 6.730379966910276431e-12, 3.698826280945173904e-11, 1.231795560689549394e-11, 2.028090449837060153e-11, 3.068660971048549766e-10, 1.485243595953698024e-11, 3.795925077723853358e-10
2.085000000000000000e+03, 3.694083187091079396e-11, 3.381236624885567792e-11, 9.952999118295807521e-11, 6.367805766254020353e-12, 3.757074717056060729e-11, 1.197231121411380938e-11, 1.911708879683120092e-11, 2.496458867269089276e-10, 1.285509293074577423e-11, 3.760840712925743380e-10
2.086000000000000000e+03, 3.658893471237486952e-11, 3.257184729551186709e-11, 7.399532288975215092e-11, 3.973580221719651144e-12, 4.472189374497249109e-11, 1.119510363856655116e-11, 1.971942745197776124e-11, 2.608683090720743400e-10, 1.137378667826769244e-11, 3.835968591247525123e-10
2.087000000000000000e+03, 3.488850964274404209e-11, 3.200241376278116679e-11, 7.101391695818761126e-11, 2.851001616737762995e-12, 4.435848980277425051e-11, 1.138058328396231961e-11, 2.024411712117819326e-11, 3.079653496395177278e-10, 1.086882621292798931e-11, 4.212062866439215657e-10
2.088000000000000000e+03, 3.381060424263205245e-11, 3.182077350035351988e-11, 6.845871782395271270e-11, 2.493240537575224053e-12, 4.432204426432837497e-11, 1.100919612900365894e-11, 2.008606512624743468e-11, 3.315129550663640872e-10, 1.061222797970377745e-11, 3.863584187563098993e-10
2.089000000000000000e+03, 3.367243069091834138e-11, 3.101875360100194608e-11, 6.729171093063783604e-11, 2.277444880462270236e-12, 4.376577408064071136e-11, 1.077751741936807742e-11, 1.710960834496294313e-11, 2.632089160299266540e-10, 1.057235115215197553e-11, 3.601308093078763879e-10
2.090000000000000000e+03, 3.617871175712138453e-11, 3.474714079392134065e-11, 6.675252600077704553e-11, 2.065180169194919961e-12, 4.301771347190435700e-11, 1.061892871439110243e-11, 1.802732988880176905e-11, 2.783829070647784044e-10, 9.121256964347743486e-12, 3.888473522772239243e-10
2.091000000000000000e+03, 3.673937039950458245e-11, 3.443691387147140497e-11, 6.792024829087592737e-11, 1.690510344518800594e-12, 5.103771042256115296e-11, 1.098844726483259170e-11, 2.103756057486871477e-11, 2.724153899237693766e-10, 8.123873891583883600e-12, 3.692236934536904439e-10
2.092000000000000000e+03, 3.774169751502673547e-11, 3.444269380919794175e-11, 6.971791411902013980e-11, 1.459561540112229480e-12, 5.241384245590814696e-11, 1.130799381852467542e-11, 2.102363983258561030e-11, 2.729687549792801860e-10, 7.899317187052359884e-12, 3.915582448151420171e-10
2.093000000000000000e+03, 3.681960803470311064e-11, 3.524170419820071493e-11, 7.040072038299613885e-11, 1.744317550545261448e-12, 5.341948409534443772e-11, 1.099951790730720081e-11, 1.947014319691196706e-11, 2.495263962532730654e-10, 7.726182955369640310e-12, 4.415539390198416545e-10
2.094000000000000000e+03, 3.548713527145339838e-11, 3.522587061016030952e-11, 6.835458983332972589e-11, 2.273864614472782547e-12, 5.448682477776526862e-11, 1.096173850934674070e-11, 1.847243606936380149e-11, 2.700097876810178951e-10, 7.531087826391362147e-12, 3.996622311510217197e-10
2.095000000000000000e+03, 3.139435128549602991e-11, 3.043185814898778951e-11, 6.994439591010987978e-11, 2.288237954509219993e-12, 5.429220735976920683e-11, 1.105618873652028620e-11, 1.856069428644980434e-11, 3.476241822252222891e-10, 5.313980204128397101e-12, 3.740095090095633230e-10
2.096000000000000000e+03, 3.244748639235400594e-11, 3.020762415476351833e-11, 6.098766280936192259e-11, 1.598612900836431716e-12, 5.508828159464523714e-11, 1.009290756185220960e-11, 2.001812226006038631e-11, 2.966668893221667141e-10, 3.866543984038939882e-12, 3.628052629864834272e-10
2.097000000000000000e+03, 3.127920987865417162e-11, 3.006512736323360302e-11, 6.039933568089157910e-11, 1.224994984353893327e-12, 5.530026782925181271e-11, 1.009897952034614857e-11, 1.925106278478294409e-11, 2.363906400370686049e-10, 3.446512136960139892e-12, 4.223113575903169157e-10
2.098000000000000000e+03, 3.024479419692067034e-11, 3.021057382006137224e-11, 6.015792425575216655e-11, 1.035853360718820634e-12, 5.456268232083893259e-11, 9.267014215336124964e-12, 1.791536257060591358e-11, 2.844436989293929987e-10, 3.087429002610412912e-12, 3.927357916666344579e-10
2.099000000000000000e+03, 2.913276904898050103e-11, 2.932686380881735383e-11, 6.285285086907057551e-11, 8.897774119807056564e-13, 5.351134883071865855e-11, 9.130010085422582581e-12, 1.973111010643243794e-11, 2.852468695860068954e-10, 2.830567973568256349e-12, 3.371047529538863368e-10
2.100000000000000000e+03, 2.442131711782748293e-11, 2.422652283484062046e-11, 6.345068317162648182e-11, 7.992771796659046899e-13, 5.530935083977489014e-11, 8.958890626296998970e-12, 2.139481184837745337e-11, 2.343563300444611584e-10, 2.396833110069373165e-12, 3.841054543863106183e-10
