year, NorESM2-LM, IPSL-CM6A-LR, MPI-ESM1-2-LR, CESM2-WACCM, GFDL-ESM4, ACCESS-ESM1-5, EC-Earth3-Veg, NorESM2-MM, TaiESM1, CanESM5, CNRM-ESM2-1, MIROC-ES2L, CMCC-CM2-SR5
1.911000000000000000e+03, 5.937154954732785095e-01, 1.538381528603993464e+00, 7.026165322914486033e+00, 6.250924449067776223e-01, 1.024744379199860056e+00, 1.460014041879829083e+00, 1.496627492905814760e+00, 5.630671787716585719e-01, 1.782717957213377780e-01, 4.510673599440978343e+00, 7.146896917899974611e+00, 3.607278221330598722e+00, 7.360035878320566605e-01
1.912000000000000000e+03, 5.921044332780192043e-01, 1.552200696191494256e+00, 7.015482637100089569e+00, 6.229180352511398677e-01, 1.038902437783783883e+00, 1.483024737526235759e+00, 1.612152110989933940e+00, 5.715375362352788091e-01, 2.309606481534389466e-01, 4.460085531034830630e+00, 7.190511618555466278e+00, 3.600177769075905143e+00, 7.798595550789728659e-01
1.913000000000000000e+03, 5.524987856671891295e-01, 1.562536611828919009e+00, 7.020247199809079852e+00, 6.649640213247668408e-01, 1.050460387773664905e+00, 1.509356184263884515e+00, 1.566666933756855284e+00, 5.690022596570190050e-01, 2.139920703711067351e-01, 4.573727190793463571e+00, 7.210016054517868866e+00, 3.608248922734853537e+00, 8.380783578658067556e-01
1.914000000000000000e+03, 5.411895792776008074e-01, 1.578010483296993893e+00, 7.008022827161854096e+00, 6.880662931247168990e-01, 1.059997540098847724e+00, 1.514523536666703141e+00, 1.594837958303203074e+00, 5.812961307041567549e-01, 1.612161258392588448e-01, 4.607167632325597673e+00, 7.204354583894700959e+00, 3.619819247139089757e+00, 8.740603876957848684e-01
1.915000000000000000e+03, 5.120269492924497401e-01, 1.574805721811869619e+00, 7.003361400887728294e+00, 6.965828479495940195e-01, 1.058473443102712075e+00, 1.527932997518612224e+00, 1.643008122338037946e+00, 5.656022486384602033e-01, 1.578439332335663803e-01, 4.576578455371759446e+00, 7.239432758464648288e+00, 3.598307979239447896e+00, 8.412894529401516719e-01
1.916000000000000000e+03, 5.136637353804013317e-01, 1.569722429713466871e+00, 7.037140961220186952e+00, 6.429595553159305199e-01, 1.046992608368847666e+00, 1.534446557891594676e+00, 1.533198740015849104e+00, 5.704986555534818926e-01, 1.835889906882108014e-01, 4.585006456048563273e+00, 7.266884989848520604e+00, 3.580768312068489223e+00, 8.430014037489604872e-01
1.917000000000000000e+03, 5.246278020920167595e-01, 1.595008230299713281e+00, 7.033220900309220980e+00, 6.161790059809497677e-01, 1.023384549422601486e+00, 1.516629595851896939e+00, 1.409329427871361062e+00, 5.838346356748187471e-01, 1.792273080353739556e-01, 4.512579106827146802e+00, 7.277337437216448990e+00, 3.544624305083674098e+00, 8.651374238689882867e-01
1.918000000000000000e+03, 5.688418163252610960e-01, 1.586963341424080021e+00, 7.028245318597531544e+00, 6.156616029791948108e-01, 1.033722458870554473e+00, 1.497079427372853377e+00, 1.542257619958843140e+00, 6.009339669745307200e-01, 1.698091797523500202e-01, 4.474094682518237498e+00, 7.301662341466560235e+00, 3.551464595217854736e+00, 8.615905540696759957e-01
1.919000000000000000e+03, 5.386889044168167162e-01, 1.609187987385592100e+00, 6.987289674717515275e+00, 6.391138888698726372e-01, 1.018474026176038771e+00, 1.496504209631982496e+00, 1.672671471250010811e+00, 5.986290785859670338e-01, 1.738220778571499259e-01, 4.548975660121973519e+00, 7.319047326853816315e+00, 3.560831415474711825e+00, 7.733155174496464390e-01
1.920000000000000000e+03, 5.742221045891706677e-01, 1.619631751477220272e+00, 6.992795110076168719e+00, 6.252207001936124220e-01, 1.017912734019401633e+00, 1.492294797052436950e+00, 1.623637973526633305e+00, 5.794363289906921954e-01, 1.491775449728782454e-01, 4.563519017891863427e+00, 7.340822654007399528e+00, 3.567341598177907525e+00, 7.512719053839328476e-01
