year, IPSL-CM6A-LR, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, CNRM-ESM2-1, MIROC-ES2L, CESM2-WACCM, CMCC-ESM2
1.935000000000000000e+03, 7.972207363372574325e-10, 4.902478236619713221e-11, 5.192686149946599699e-10, 5.588676404339816326e-13, 4.756333975096476302e-11, 5.442563728960426642e-10, 3.400734553981535448e-10, 1.193519871629251609e-10
1.936000000000000000e+03, 7.767080932306464957e-10, 4.967829528729496925e-11, 5.257053931717494844e-10, 5.246929774191167217e-13, 4.591383339791147478e-11, 5.424895499360378626e-10, 3.213095600941300045e-10, 1.214541347634363167e-10
1.937000000000000000e+03, 8.255478967536820822e-10, 5.017430862830147302e-11, 5.286121451201770789e-10, 5.575686819347924179e-13, 4.425398932595422771e-11, 5.457846907491911883e-10, 3.467254824407755104e-10, 1.236462982411328190e-10
1.938000000000000000e+03, 8.726770621618674086e-10, 5.063691723066351087e-11, 5.250924905229684204e-10, 7.500182445653270143e-13, 4.260242718350910017e-11, 5.498943073907059269e-10, 3.563350670912028241e-10, 1.258898961795952662e-10
1.939000000000000000e+03, 8.666653153761844567e-10, 5.104484520746532219e-11, 5.259907189868371969e-10, 8.156771336760207458e-13, 4.106031743871680309e-11, 5.523287048383406964e-10, 3.520593192780565026e-10, 1.281863448280470664e-10
1.940000000000000000e+03, 8.713221546646131380e-10, 5.145334198300818924e-11, 5.284964797649139461e-10, 8.413084906351551908e-13, 3.956306096282393108e-11, 5.468271172712546726e-10, 3.447454130312785232e-10, 1.300879329256064024e-10
1.941000000000000000e+03, 8.380351767060786721e-10, 4.611099359445249510e-11, 5.280883812183377846e-10, 7.204268945512149113e-13, 3.992391963422420077e-11, 5.453517438356251061e-10, 3.372084650574237607e-10, 1.315415773143252381e-10
1.942000000000000000e+03, 8.536713785669048897e-10, 4.396746116951672636e-11, 5.380793173058879829e-10, 6.436679666297093641e-13, 3.975294750203349785e-11, 5.455136841648441123e-10, 3.570414211962906332e-10, 1.330473359733422005e-10
1.943000000000000000e+03, 8.510867439308466014e-10, 4.299153099313495350e-11, 5.452337559527089574e-10, 6.229937587054192088e-13, 3.960850154749416821e-11, 5.458038014594044624e-10, 3.858451012445791609e-10, 1.347319903320058522e-10
1.944000000000000000e+03, 8.809395231455900173e-10, 4.250857448450021684e-11, 5.446655204031361296e-10, 5.798230641727557933e-13, 3.947244057339634691e-11, 5.466310345553915193e-10, 3.746245580396086669e-10, 1.365827536578725234e-10
