year, UKESM1-0-LL, MPI-ESM1-2-LR, TaiESM1, NorESM2-MM, EC-Earth3-Veg, CESM2-WACCM, NorESM2-LM, IPSL-CM6A-LR
1.955000000000000000e+03, 1.006670224428741695e-09, 1.331453159428992883e-09, 2.013785481788485157e-10, 1.900417053870384993e-10, 8.972603191259322468e-10, 3.602596448441513406e-10, 1.416481060108125193e-10, 1.935840741506463187e-09
1.956000000000000000e+03, 1.201034365625857304e-09, 1.343045482149116516e-09, 2.084547090068714013e-10, 1.951072000536853640e-10, 8.711931427986830866e-10, 3.062565126805721422e-10, 1.479570013274002250e-10, 1.791425096369953425e-09
1.957000000000000000e+03, 9.550528596126185465e-10, 1.387413126265555145e-09, 2.162336694950807839e-10, 1.968294024155122969e-10, 7.601423845704499661e-10, 3.072504715309281696e-10, 1.519153178444401836e-10, 1.880463029937750101e-09
1.958000000000000000e+03, 8.139905285651876902e-10, 1.402228160146181528e-09, 2.231979199460246848e-10, 2.047923116192081689e-10, 9.843156903751272348e-10, 2.853767378842510837e-10, 1.587750946013699908e-10, 1.661531759207226929e-09
1.959000000000000000e+03, 9.904204804741558981e-10, 1.462790685342121822e-09, 2.308435633352207299e-10, 2.127442767291828387e-10, 7.176068419009035980e-10, 3.387298663461930159e-10, 1.648706254811181914e-10, 1.986377314951292351e-09
1.960000000000000000e+03, 1.234122008357027743e-09, 1.314615143267019951e-09, 2.395840863160795751e-10, 2.213857224650236437e-10, 1.114308443965289752e-09, 5.219948408716067522e-10, 1.680681173843861645e-10, 1.765171370728274335e-09
1.961000000000000000e+03, 1.132506047572832707e-09, 1.202646766953256675e-09, 2.499979797838788118e-10, 2.305189615096138105e-10, 8.030737527336387313e-10, 5.013417602230834046e-10, 1.730124148093062119e-10, 2.021659532846496407e-09
1.962000000000000000e+03, 7.952622284178407955e-10, 1.319700887109709486e-09, 2.617361615196323465e-10, 2.366618298167149968e-10, 9.628728151073244440e-10, 3.766670735192652275e-10, 1.773776639972726381e-10, 2.038983026406291473e-09
1.963000000000000000e+03, 9.260535320645203143e-10, 1.326675092752921867e-09, 2.714517861208549267e-10, 2.417917355173018231e-10, 8.502024114469797080e-10, 3.505562817937694896e-10, 1.802101527379363816e-10, 2.224096236804045845e-09
1.964000000000000000e+03, 1.179649916251756797e-09, 1.417800987656653232e-09, 2.817718287638317562e-10, 2.490126158554200081e-10, 9.771000540379608273e-10, 3.941828209719650098e-10, 1.863228796387659010e-10, 1.945385997154725761e-09
