year, CNRM-ESM2-1, TaiESM1, NorESM2-MM, GFDL-ESM4, NorESM2-LM
1.978000000000000000e+03, 9.931740988362948188e-11, 2.389434333723553676e-10, 3.484169599464293280e-10, 1.494216456014714310e-10, 1.522741457011351569e-10
1.979000000000000000e+03, 1.101317055035878096e-10, 3.443110369055803014e-10, 2.671777810523867250e-10, 2.381664158720310902e-10, 1.226861868063210825e-10
1.980000000000000000e+03, 1.674404839098538444e-10, 3.719926037844803180e-10, 1.759566481721553716e-10, 1.954908640095793165e-10, 1.444124463505483115e-10
1.981000000000000000e+03, 1.253438181938123957e-10, 2.558935464552422618e-10, 1.534027446650755098e-10, 1.820599772728197231e-10, 1.348946096558739411e-10
1.982000000000000000e+03, 1.223072264718182672e-10, 3.115672237600132845e-10, 2.094795183375257010e-10, 1.443984370260142191e-10, 1.374529983263458219e-10
1.983000000000000000e+03, 1.384195974399838482e-10, 5.719437698458841897e-10, 1.940805208661045849e-10, 2.381636252658234856e-10, 1.448287968977729382e-10
1.984000000000000000e+03, 1.703567132841468054e-10, 6.435623144191437157e-10, 1.820625765897840193e-10, 1.748551902801907918e-10, 2.129483379392723114e-10
1.985000000000000000e+03, 1.018887607101005426e-10, 3.509339809937078835e-10, 1.466396486372379210e-10, 1.827254919388695504e-10, 2.419512284030223373e-10
1.986000000000000000e+03, 1.091062665974977998e-10, 3.143752124034040484e-10, 1.436507617067345425e-10, 1.501070490623679012e-10, 1.908167253363282860e-10
1.987000000000000000e+03, 1.411853567174465355e-10, 3.540871946422785886e-10, 2.857444077182729319e-10, 1.772779809661982450e-10, 1.100857824635356003e-10
1.988000000000000000e+03, 1.247659364821794561e-10, 2.930464275673120239e-10, 1.343427680394512096e-10, 1.463039738803160980e-10, 1.476355908792353153e-10
1.989000000000000000e+03, 1.311603491975222037e-10, 3.077605608763852887e-10, 1.481983227805050757e-10, 1.327114787286686877e-10, 1.074678214386675473e-10
1.990000000000000000e+03, 1.595756973635032251e-10, 3.520297371637828162e-10, 2.386543932205650678e-10, 1.287629329609059028e-10, 2.218936614196150076e-10
1.991000000000000000e+03, 1.039309751499514022e-10, 4.817998057051652588e-10, 1.916170934341196126e-10, 1.322630061652198996e-10, 1.922401604511872567e-10
1.992000000000000000e+03, 1.195939522371209168e-10, 3.279936924269832474e-10, 2.205629345807047647e-10, 1.419125636913090017e-10, 1.364769203560366650e-10
1.993000000000000000e+03, 1.295924444864645860e-10, 3.542654070115536450e-10, 2.486990500032661604e-10, 1.672508124134897984e-10, 9.232163711398191381e-11
1.994000000000000000e+03, 1.466520624235490893e-10, 3.498752854531940306e-10, 1.402448551510751715e-10, 1.602442746219152322e-10, 1.507275196761422166e-10
1.995000000000000000e+03, 1.282462692827277044e-10, 2.751053283057024685e-10, 2.332186181872106316e-10, 1.317618324890586627e-10, 2.383586514607579750e-10
1.996000000000000000e+03, 1.449993762014320939e-10, 3.391696518491476496e-10, 2.712684243889979735e-10, 1.266621776614181302e-10, 1.543448978370040898e-10
1.997000000000000000e+03, 1.275507622488367907e-10, 3.240017207012064111e-10, 2.692351600698863089e-10, 1.168695343964981006e-10, 1.328149958948735577e-10
1.998000000000000000e+03, 1.314424831837171041e-10, 4.780698473124292247e-10, 1.329595820498493966e-10, 1.153109149762306342e-10, 1.143805507864136536e-10
1.999000000000000000e+03, 1.106432110252396885e-10, 3.323134707923401921e-10, 1.771172015287404759e-10, 2.163454525268272669e-10, 1.653477676374707585e-10
2.000000000000000000e+03, 1.467062457432179809e-10, 3.823313833008169378e-10, 9.936187325844322036e-11, 1.253290377426826670e-10, 1.831600974583271953e-10
2.001000000000000000e+03, 1.183322915023982306e-10, 2.347227983871798425e-10, 2.192469430740898099e-10, 1.254946262331073735e-10, 1.878096541145707084e-10
2.002000000000000000e+03, 1.168655442926416300e-10, 2.756761359758734329e-10, 1.636692066860934650e-10, 1.485765729411415740e-10, 1.182222252425930921e-10
2.003000000000000000e+03, 1.612644708847975188e-10, 3.333098096889041351e-10, 2.528850962313488769e-10, 1.163238337557654199e-10, 1.115228147749834243e-10
2.004000000000000000e+03, 1.274899464654188312e-10, 5.768041603236280414e-10, 2.542219572111763032e-10, 1.776385146695492768e-10, 1.567184415782156894e-10
