year, CMCC-ESM2, CNRM-ESM2-1, UKESM1-0-LL, CanESM5, MPI-ESM1-2-LR, GFDL-ESM4, MIROC-ES2L, CESM2-WACCM
1.943000000000000000e+03, -8.056464013780924074e-10, 4.737068066687353969e-10, 1.215695529550139056e-09, -9.591883111318413574e-10, 2.359818278969573268e-10, -1.478052501684479543e-09, 3.147326542280042213e-10, -5.551103072586861179e-10
1.944000000000000000e+03, 1.119758736042456557e-09, -7.714753478014854265e-10, -7.521008849068447092e-10, -9.994501007473859398e-10, 4.022441595080131560e-10, 8.739104979242027262e-11, -2.372453585996276758e-10, -9.675514295489423354e-10
1.945000000000000000e+03, -2.318491631045393646e-10, 1.584528873337755909e-09, 1.529298549734708739e-09, 4.930597895580638391e-11, -2.342644544435175714e-10, 1.855716025947883483e-09, 3.893627641679386600e-11, 5.921903581438193719e-10
1.946000000000000000e+03, 2.392335843517491576e-10, -1.105559610464544400e-09, 2.831696173393831531e-10, -3.834169941524913298e-10, -4.853738563710390011e-10, 9.474995640445256508e-10, 3.916806683829607220e-10, 2.718574617656803027e-11
1.947000000000000000e+03, 1.178873467661988509e-09, -6.150191713123049151e-10, -2.980952166790763806e-11, -9.634052668296943420e-10, -7.179686127880828386e-10, -2.124920132303863131e-09, -1.900440283306555197e-10, 7.376451404576663079e-10
1.948000000000000000e+03, -2.347213090033786726e-09, -4.169323559646468868e-10, -8.730477654152652128e-10, -3.166921320945785746e-10, 1.160527344838887535e-09, -1.236510666136228595e-09, 2.472038434360175624e-10, 1.840515458513840663e-11
1.949000000000000000e+03, 7.307153009480806966e-10, 2.240238081314195542e-10, 7.775462044729200413e-11, -3.439168538576218922e-10, 2.725233709591899579e-09, -2.532516145109324480e-10, 3.694818874264632113e-11, -5.213568356943479287e-10
1.950000000000000000e+03, 9.378666765014276932e-10, 3.284192710212395563e-10, 1.576833281179311352e-09, 1.887904976631797805e-09, -4.342310029756976404e-10, -9.917381347325857375e-10, -5.828269452149716067e-10, -6.181288898662103936e-10
1.951000000000000000e+03, -2.445257945412957242e-09, -2.751860984437688711e-10, 6.968448011380648906e-10, -1.705505287620581979e-10, -9.627757448228195948e-10, 5.169746544808925362e-11, -4.795503705735031189e-11, -1.457286915833919238e-10
1.952000000000000000e+03, 6.568475606853922903e-10, -8.208550860081419031e-10, -2.763232694996402272e-10, -1.181236152958689145e-09, -4.349070140711346333e-10, -1.174344842023900340e-10, -7.739843790102215485e-10, -7.876758974111224299e-10
1.953000000000000000e+03, 7.054843751620023683e-10, 6.569909020379765225e-11, -2.956812236301858907e-10, 2.331733486512033516e-09, -1.613909760790695153e-10, -1.550353166346840561e-09, -9.934370721810533953e-10, 1.680537388458759316e-10
1.954000000000000000e+03, 8.731023665810171656e-11, -1.096288801237305421e-09, -5.732252882345625220e-11, 1.232201114967337790e-09, 1.946509363974431384e-10, -7.042962102109422328e-10, -3.095646852171175385e-10, -3.941117146565022367e-11
1.955000000000000000e+03, -7.379196447118877629e-10, 1.363763522360134077e-09, 6.925326946414250595e-10, 1.103717049075272542e-09, -2.650908030402863234e-10, 8.100121743093180937e-10, 2.489889371201925336e-10, -4.684653467796825841e-10
1.956000000000000000e+03, 1.312982252120445233e-10, 7.067203543370683457e-10, 6.408502807537632368e-11, -1.127184744586776106e-09, 8.200456120009023004e-10, 1.672746294155141066e-09, -4.924734333430998011e-10, -1.709146679064788445e-10
1.957000000000000000e+03, 1.133210510331225715e-09, -1.347355411469998190e-09, -3.066780271196705451e-10, -6.166815265188830817e-11, -3.062156785680562590e-10, -1.003257997576125023e-10, -7.016671398287772278e-10, -2.105235923804269484e-10
1.958000000000000000e+03, 1.266021101659885010e-09, -8.894728695754126327e-10, -1.020347031707986209e-09, -3.092993343566030914e-10, 5.893112450098480698e-11, -2.152216749018701201e-09, 5.652379829210446509e-11, 6.495040226365651006e-11
1.959000000000000000e+03, -1.676319662222838819e-09, -6.026176955921814985e-10, 2.025676201844348076e-09, 1.148673937915164574e-09, -9.927700128308763595e-11, -8.203178860301792179e-10, -2.772378382898353718e-10, 7.688631587221561742e-10
1.960000000000000000e+03, -1.751076987627062167e-09, -1.601069055436193701e-10, -2.406876690444830235e-10, -1.252693596094964549e-09, -5.738599343791214804e-10, -4.599169058784971563e-10, -3.823215815579359397e-10, 8.095547535893126871e-10
